H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.82,1.694,0.031,0.0819,1.7,0.170,0.018,0.000,1.707,0.031,0.015,0.015,1.693,115.859,1.849,0.0484,0.018,0.000,1.921,6,0.82,0.82,18.00
0.84,1.616,0.031,0.0896,1.7,0.180,0.019,0.000,1.630,0.031,0.015,0.015,1.615,107.894,1.944,0.0555,0.019,0.000,1.919,6,0.84,0.84,18.00
0.86,1.615,0.033,0.0976,1.7,0.180,0.020,0.000,1.631,0.033,0.015,0.015,1.615,105.361,2.037,0.0604,0.020,0.000,2.000,6,0.86,0.86,18.00
0.88,1.601,0.035,0.0937,1.8,0.210,0.021,0.000,1.616,0.035,0.016,0.016,1.600,101.982,2.169,0.0586,0.022,0.000,2.100,6,0.88,0.88,18.00
0.90,1.621,0.034,0.0915,1.8,0.200,0.021,0.000,1.636,0.034,0.016,0.016,1.620,100.915,2.093,0.0565,0.021,0.000,2.047,6,0.90,0.90,18.00
0.92,1.645,0.029,0.1101,1.8,0.180,0.018,0.000,1.663,0.029,0.016,0.016,1.646,100.311,1.774,0.0669,0.018,0.000,1.760,6,0.92,0.92,18.00
0.94,1.670,0.027,0.0873,1.8,0.180,0.016,0.000,1.684,0.027,0.017,0.017,1.667,99.392,1.614,0.0524,0.016,0.000,1.617,6,0.94,0.94,18.00
0.96,1.669,0.025,0.0821,1.8,0.180,0.015,0.000,1.682,0.025,0.017,0.017,1.665,97.181,1.514,0.0493,0.015,0.000,1.509,6,0.96,0.96,18.00
0.98,1.705,0.026,0.0593,1.9,0.180,0.015,0.000,1.714,0.026,0.017,0.017,1.697,97.015,1.538,0.0349,0.015,0.000,1.556,6,0.98,0.98,18.00
1.00,1.706,0.027,0.0076,1.9,0.200,0.016,0.000,1.707,0.027,0.018,0.018,1.689,94.626,1.581,0.0045,0.016,0.000,1.581,6,1.00,1.00,18.00
1.02,1.714,0.027,0.0026,1.8,0.250,0.016,0.000,1.714,0.027,0.018,0.018,1.696,93.125,1.610,0.0015,0.016,0.000,1.604,6,1.02,1.02,18.00
1.04,1.734,0.028,0.0014,1.9,0.270,0.016,0.000,1.734,0.028,0.019,0.019,1.716,92.383,1.650,0.0008,0.016,0.000,1.643,6,1.04,1.04,18.00
